ID,bookID,chapterInBook,url,title,povID,ChapterRating
185,2,42,/index.php/A_Storm_of_Swords-Chapter_42,Daenerys IV,352,8.37
186,2,43,/index.php/A_Storm_of_Swords-Chapter_43,Arya VIII,136,7.47
187,2,44,/index.php/A_Storm_of_Swords-Chapter_44,Jaime VI,785,8.21
188,2,45,/index.php/A_Storm_of_Swords-Chapter_45,Catelyn V,287,7.41
189,2,46,/index.php/A_Storm_of_Swords-Chapter_46,Samwell III,1527,8.25
190,2,47,/index.php/A_Storm_of_Swords-Chapter_47,Arya IX,136,7.51
191,2,48,/index.php/A_Storm_of_Swords-Chapter_48,Jon VI,851,7.88
192,2,49,/index.php/A_Storm_of_Swords-Chapter_49,Catelyn VI,287,7.96
193,2,50,/index.php/A_Storm_of_Swords-Chapter_50,Arya X,136,7.42
194,2,51,/index.php/A_Storm_of_Swords-Chapter_51,Catelyn VII,287,9.11
195,2,52,/index.php/A_Storm_of_Swords-Chapter_52,Arya XI,136,8.26
196,2,53,/index.php/A_Storm_of_Swords-Chapter_53,Tyrion VI,1716,8.37
197,2,54,/index.php/A_Storm_of_Swords-Chapter_54,Davos V,385,7.79
198,2,55,/index.php/A_Storm_of_Swords-Chapter_55,Jon VII,851,8.48
199,2,56,/index.php/A_Storm_of_Swords-Chapter_56,Bran IV,240,8.21
200,2,57,/index.php/A_Storm_of_Swords-Chapter_57,Daenerys V,352,8.41
201,2,58,/index.php/A_Storm_of_Swords-Chapter_58,Tyrion VII,1716,7.51
202,2,59,/index.php/A_Storm_of_Swords-Chapter_59,Sansa IV,1530,7.97
203,2,60,/index.php/A_Storm_of_Swords-Chapter_60,Tyrion VIII,1716,9.2
204,2,61,/index.php/A_Storm_of_Swords-Chapter_61,Sansa V,1530,8.22
205,2,62,/index.php/A_Storm_of_Swords-Chapter_62,Jaime VII,785,7.86
206,2,63,/index.php/A_Storm_of_Swords-Chapter_63,Davos VI,385,8.13
207,2,64,/index.php/A_Storm_of_Swords-Chapter_64,Jon VIII,851,8.26
208,2,65,/index.php/A_Storm_of_Swords-Chapter_65,Arya XII,136,7.51
209,2,66,/index.php/A_Storm_of_Swords-Chapter_66,Tyrion IX,1716,8.2
210,2,67,/index.php/A_Storm_of_Swords-Chapter_67,Jaime VIII,785,7.62
211,2,68,/index.php/A_Storm_of_Swords-Chapter_68,Sansa VI,1530,7.69
212,2,69,/index.php/A_Storm_of_Swords-Chapter_69,Jon IX,851,8.1
213,2,70,/index.php/A_Storm_of_Swords-Chapter_70,Tyrion X,1716,9.29
214,2,71,/index.php/A_Storm_of_Swords-Chapter_71,Daenerys VI,352,8.22
215,2,72,/index.php/A_Storm_of_Swords-Chapter_72,Jaime IX,785,8.32
216,2,73,/index.php/A_Storm_of_Swords-Chapter_73,Jon X,851,8.84
217,2,74,/index.php/A_Storm_of_Swords-Chapter_74,Arya XIII,136,8.64
218,2,75,/index.php/A_Storm_of_Swords-Chapter_75,Samwell IV,1527,7.89
219,2,76,/index.php/A_Storm_of_Swords-Chapter_76,Jon XI,851,8.26
220,2,77,/index.php/A_Storm_of_Swords-Chapter_77,Tyrion XI,1716,9.16
221,2,78,/index.php/A_Storm_of_Swords-Chapter_78,Samwell V,1527,8.15
222,2,79,/index.php/A_Storm_of_Swords-Chapter_79,Jon XII,851,8.64
